CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch);Image_frameID
1620227127.1616189480;-0.1036296175;-0.9433332722;1.5629439302;0.7166194937;-0.0141937452;0.0070297263;0.6972844627;1620227127.1533210278;-0.0537633949;5.2444149096;1.4840081367;0.7067367942;0.0060994917;0.0070130732;-0.7074155192;1;1620227127.608695562;1
1620227127.1779780388;-0.1036299834;-0.9429828744;1.5661750008;0.7167332042;-0.0136057360;0.0065535579;0.6971839419;1620227127.1616280079;-0.0537677027;5.2444149657;1.4840082993;0.7067365713;0.0060976159;0.0070144480;-0.7074157444;1;1620227127.608695562;1
1620227127.1865549088;-0.1037143590;-0.9428842701;1.5675325058;0.7166087648;-0.0136252806;0.0066806897;0.6973102597;1620227127.1779899597;-0.0537649448;5.2444148914;1.4840130612;0.7067373050;0.0060978302;0.0070117191;-0.7074150365;1;1620227127.608695562;1
1620227127.1946949959;-0.1038619451;-0.9428250876;1.5689956233;0.7162929342;-0.0133029148;0.0070038075;0.6976377366;1620227127.1865649223;-0.0537619617;5.2444119641;1.4840097947;0.7067399075;0.0061001803;0.0070109942;-0.7074124235;2;1620227127.660638314;2
1620227127.2029650211;-0.1039493211;-0.9427601387;1.5704141656;0.7161485131;-0.0131839533;0.0071473668;0.6977867910;1620227127.1947190762;-0.0537629904;5.2444094767;1.4840132521;0.7067401123;0.0060967170;0.0070109588;-0.7074122491;2;1620227127.660638314;2
1620227127.2114009857;-0.1040852659;-0.9427256370;1.5718012377;0.7161603415;-0.0127961572;0.0077270159;0.6977756923;1620227127.2030000687;-0.0537673715;5.2444071413;1.4840132504;0.7067385703;0.0060908621;0.0070080053;-0.7074138693;2;1620227127.660638314;2
1620227127.2280709743;-0.1042595672;-0.9425605031;1.5747294048;0.7158093869;-0.0122240965;0.0077269204;0.6981459646;1620227127.2114119530;-0.0537662448;5.2444102993;1.4840053834;0.7067379785;0.0060990744;0.0070130803;-0.7074143395;2;1620227127.660638314;2
1620227127.2364370823;-0.1043041215;-0.9424745603;1.5761963667;0.7154330780;-0.0119210195;0.0076166576;0.6985380353;1620227127.2280819416;-0.0537666651;5.2444131491;1.4840055114;0.7067416019;0.0061061966;0.0070174262;-0.7074106150;3;1620227127.686609570;3
1620227127.2448279858;-0.1043381274;-0.9424445217;1.5775566897;0.7157056827;-0.0114206352;0.0081139624;0.6982614900;1620227127.2364609241;-0.0537611534;5.2444178996;1.4840080555;0.7067387650;0.0061043363;0.0070143660;-0.7074134957;3;1620227127.686609570;3
1620227127.2532789707;-0.1044203327;-0.9423489511;1.5789840407;0.7153429213;-0.0110715191;0.0081884704;0.6986378714;1620227127.2448389530;-0.0537662388;5.2444119976;1.4840097223;0.7067398223;0.0061002156;0.0070132717;-0.7074124857;3;1620227127.686609570;3
1620227127.2612791061;-0.1044635857;-0.9423407456;1.5803077808;0.7155562226;-0.0107088495;0.0090322950;0.6984146551;1620227127.2532908916;-0.0537580527;5.2444059923;1.4840108304;0.7067391224;0.0060934642;0.0070045735;-0.7074133293;3;1620227127.686609570;3
1620227127.2779619694;-0.1045095281;-0.9422048171;1.5830435179;0.7154336629;-0.0100299510;0.0093303676;0.6985463608;1620227127.2612879276;-0.0537620439;5.2444175314;1.4840167753;0.7067370813;0.0061000204;0.0070163930;-0.7074151949;4;1620227127.712581010;4
1620227127.2869980335;-0.1045086553;-0.9421298480;1.5843170410;0.7155316267;-0.0099169197;0.0095432152;0.6984447529;1620227127.2779860497;-0.0537723564;5.2444138269;1.4840127716;0.7067380351;0.0061013627;0.0070182007;-0.7074142124;4;1620227127.712581010;4
1620227127.2949290276;-0.1045003727;-0.9420539173;1.5856455537;0.7154449657;-0.0097977454;0.0095437385;0.6985351976;1620227127.2870221138;-0.0537674451;5.2444055692;1.4840090211;0.7067408958;0.0060953063;0.0070102436;-0.7074114856;4;1620227127.712581010;4
1620227127.3029448986;-0.1045736927;-0.9419984142;1.5869413874;0.7155206749;-0.0095500261;0.0099620774;0.6984552368;1620227127.2949519157;-0.0537569416;5.2444057663;1.4840098113;0.7067372079;0.0060917449;0.0070044015;-0.7074152585;5;1620227127.764523722;5
1620227127.3198409081;-0.1045619254;-0.9418363747;1.5893211730;0.7155744907;-0.0096459406;0.0105271659;0.6983904945;1620227127.3029561043;-0.0537636091;5.2444062544;1.4840087474;0.7067392070;0.0060946523;0.0070068152;-0.7074132124;5;1620227127.764523722;5
1620227127.3280029297;-0.1045674380;-0.9417562639;1.5905377570;0.7156358993;-0.0096012158;0.0107177218;0.6983252872;1620227127.3198490143;-0.0537619017;5.2444151420;1.4840109733;0.7067371617;0.0060960588;0.0070114071;-0.7074151981;5;1620227127.764523722;5
1620227127.3361439705;-0.1044660846;-0.9416718125;1.5916361445;0.7158135161;-0.0100791105;0.0107201532;0.6981364480;1620227127.3280138969;-0.0537622266;5.2444100561;1.4840128048;0.7067385681;0.0060991029;0.0070092772;-0.7074137879;5;1620227127.764523722;5
1620227127.3450450897;-0.1045580541;-0.9415658847;1.5928455207;0.7157931382;-0.0098828816;0.0110223478;0.6981554410;1620227127.3361558914;-0.0537602559;5.2444077556;1.4840125650;0.7067374347;0.0060907587;0.0070043371;-0.7074150411;6;1620227127.790495042;6
1620227127.3534979820;-0.1045098462;-0.9415074137;1.5939191273;0.7159141377;-0.0103300342;0.0111475817;0.6980229003;1620227127.3450570107;-0.0537693163;5.2444114595;1.4840118517;0.7067374896;0.0060985683;0.0070129443;-0.7074148336;6;1620227127.790495042;6
1620227127.3701310158;-0.1044815320;-0.9413080158;1.5961267923;0.7160397143;-0.0108677276;0.0114009905;0.6978818220;1620227127.3535070419;-0.0537645786;5.2444080386;1.4840104645;0.7067381961;0.0060967929;0.0070101032;-0.7074141713;6;1620227127.790495042;6
1620227127.3784809113;-0.1044252225;-0.9412542935;1.5971166476;0.7160515610;-0.0116415976;0.0113816958;0.6978575014;1620227127.3701419830;-0.0537588207;5.2444138759;1.4840104549;0.7067395903;0.0061015075;0.0070143261;-0.7074126959;7;1620227127.816466362;7
1620227127.3864800930;-0.1044054607;-0.9411908111;1.5980704032;0.7161221813;-0.0123817463;0.0113441664;0.6977729026;1620227127.3784990311;-0.0537640162;5.2444095504;1.4840127725;0.7067369952;0.0060934710;0.0070082754;-0.7074154178;7;1620227127.816466362;7
1620227127.3947069645;-0.1044308387;-0.9410840094;1.5990777329;0.7160084356;-0.0128756047;0.0114302602;0.6978792791;1620227127.3864889145;-0.0537610476;5.2443992406;1.4840098923;0.7067372164;0.0060907588;0.0070005386;-0.7074152968;7;1620227127.816466362;7
1620227127.4033379555;-0.1043401465;-0.9409307436;1.6000817858;0.7161553446;-0.0134908081;0.0112384108;0.6977200144;1620227127.3947179317;-0.0537626316;5.2444100616;1.4840143870;0.7067389990;0.0060962011;0.0070113441;-0.7074133620;7;1620227127.816466362;7
1620227127.4115738869;-0.1043291902;-0.9408479502;1.6010270604;0.7162150515;-0.0141578918;0.0112017509;0.6976460958;1620227127.4033489227;-0.0537638236;5.2444167454;1.4840153252;0.7067367392;0.0061014647;0.0070159353;-0.7074155287;8;1620227127.868409074;8
1620227127.4285840988;-0.1043601051;-0.9406397815;1.6029506727;0.7161288899;-0.0153928628;0.0109168872;0.6977129025;1620227127.4115850925;-0.0537688283;5.2444038484;1.4840102675;0.7067373440;0.0060903305;0.0070046371;-0.7074151324;8;1620227127.868409074;8
1620227127.4364609718;-0.1043155141;-0.9405320723;1.6038734065;0.7162110087;-0.0161170722;0.0108771942;0.6976128709;1620227127.4285960197;-0.0537671599;5.2444104362;1.4840083676;0.7067392939;0.0060993314;0.0070130026;-0.7074130239;8;1620227127.868409074;8
1620227127.4445369244;-0.1043032373;-0.9403867488;1.6047880848;0.7162367570;-0.0167810696;0.0104352429;0.6975775292;1620227127.4364728928;-0.0537684487;5.2444112058;1.4840115188;0.7067360451;0.0060932069;0.0070123989;-0.7074163284;8;1620227127.868409074;8
1620227127.4532279968;-0.1043252077;-0.9403424918;1.6057118439;0.7162237309;-0.0173748105;0.0105237375;0.6975750384;1620227127.4445478916;-0.0537602860;5.2444124059;1.4840086684;0.7067356431;0.0060974189;0.0070099450;-0.7074167180;9;1620227127.894380466;9
1620227127.4614479542;-0.1043666372;-0.9402127498;1.6066983053;0.7160030737;-0.0179325316;0.0096224400;0.6978004237;1620227127.4532389641;-0.0537634758;5.2444113674;1.4840089420;0.7067389435;0.0060981152;0.0070119242;-0.7074133951;9;1620227127.894380466;9
1620227127.4785571098;-0.1043131499;-0.9399419764;1.6086799116;0.7161301334;-0.0185120950;0.0093282565;0.6976588837;1620227127.4614670277;-0.0537593251;5.2444167246;1.4840069192;0.7067392085;0.0061072977;0.0070185499;-0.7074129855;9;1620227127.894380466;9
1620227127.4865739346;-0.1043339633;-0.9397896816;1.6097074159;0.7161347861;-0.0185361532;0.0091392079;0.6976559711;1620227127.4785840511;-0.0537593401;5.2444143393;1.4840111157;0.7067370690;0.0061027757;0.0070133160;-0.7074152139;10;1620227127.946323194;10
1620227127.4945240021;-0.1043123644;-0.9396406056;1.6107530896;0.7161664568;-0.0186553131;0.0085766542;0.6976274266;1620227127.4865860939;-0.0537652419;5.2444151258;1.4840130057;0.7067373464;0.0060995562;0.0070148306;-0.7074149495;10;1620227127.946323194;10
1620227127.5031640530;-0.1043475541;-0.9395150560;1.6117537399;0.7160348654;-0.0187942654;0.0078174693;0.6977676794;1620227127.4945349693;-0.0537653575;5.2444121290;1.4840089756;0.7067404675;0.0061052027;0.0070172362;-0.7074117588;10;1620227127.946323194;10
1620227127.5115649700;-0.1043493792;-0.9394560578;1.6128475177;0.7160687408;-0.0184424768;0.0077264735;0.6977433161;1620227127.5031750202;-0.0537526749;5.2444041110;1.4840137655;0.7067347299;0.0060857936;0.0069990937;-0.7074178379;10;1620227127.946323194;10
1620227127.5291810036;-0.1043574640;-0.9391605425;1.6149854908;0.7160703838;-0.0178889661;0.0068854891;0.6977648460;1620227127.5115740299;-0.0537615240;5.2444108917;1.4840098074;0.7067375711;0.0061005048;0.0070129471;-0.7074147355;11;1620227127.972294546;11
1620227127.5445280075;-0.1043880108;-0.9389003717;1.6171473773;0.7160708414;-0.0170228179;0.0062393672;0.6977921209;1620227127.5291900635;-0.0537630573;5.2444084486;1.4840081181;0.7067373418;0.0060946770;0.0070108626;-0.7074150355;11;1620227127.972294546;11
1620227127.5534400940;-0.1043312883;-0.9387261660;1.6182275589;0.7163037555;-0.0164146395;0.0056857422;0.6975723344;1620227127.5445389748;-0.0537605820;5.2444062673;1.4840142893;0.7067369157;0.0060899582;0.0070032017;-0.7074155777;12;1620227127.998265858;12
1620227127.5631790161;-0.1042511698;-0.9386067548;1.6193183140;0.7164991325;-0.0159793976;0.0052272067;0.6973853514;1620227127.5534510612;-0.0537680418;5.2444122223;1.4840145728;0.7067371567;0.0060971196;0.0070153416;-0.7074151549;12;1620227127.998265858;12
1620227127.5790998936;-0.1042665039;-0.9383299331;1.6214462606;0.7166286305;-0.0148545211;0.0049329889;0.6972792946;1620227127.5631890297;-0.0537613965;5.2444171263;1.4840137416;0.7067371169;0.0061028738;0.0070174126;-0.7074151246;12;1620227127.998265858;12
1620227127.5883779526;-0.1042649579;-0.9381647462;1.6225070901;0.7166832322;-0.0143877871;0.0046272952;0.6972350567;1620227127.5791089535;-0.0537594701;5.2444062929;1.4840118865;0.7067366928;0.0060968443;0.0070054361;-0.7074157190;12;1620227127.998265858;12
1620227127.5955669880;-0.1042649454;-0.9378623849;1.6236151094;0.7167060711;-0.0135839704;0.0043323246;0.6972295994;1620227127.5884010792;-0.0537663810;5.2444094352;1.4840107701;0.7067385227;0.0060986555;0.0070152215;-0.7074137782;13;1620227128.050208650;13
1620227127.6043570042;-0.1043658267;-0.9377395444;1.6246744571;0.7166058196;-0.0131580079;0.0040103629;0.6973427300;1620227127.5955779552;-0.0537640596;5.2444114169;1.4840096031;0.7067399813;0.0061048460;0.0070154398;-0.7074122654;13;1620227128.050208650;13
1620227127.6114349365;-0.1044042857;-0.9375576780;1.6256788443;0.7166744027;-0.0127391483;0.0037709294;0.6972813598;1620227127.6043670177;-0.0537612675;5.2444090978;1.4840123275;0.7067364203;0.0060959605;0.0070066728;-0.7074159865;13;1620227128.050208650;13
1620227127.6281929016;-0.1044099456;-0.9373107076;1.6275112859;0.7168174974;-0.0125934652;0.0038818260;0.6971362933;1620227127.6114459038;-0.0537654206;5.2444084204;1.4840101940;0.7067370548;0.0060958215;0.0070117617;-0.7074153034;14;1620227128.076179994;14
1620227127.6365420818;-0.1045609240;-0.9372091331;1.6284138226;0.7166130219;-0.0125025359;0.0041119890;0.6973467968;1620227127.6282041073;-0.0537654572;5.2444082472;1.4840095952;0.7067390760;0.0060955438;0.0070119681;-0.7074132845;14;1620227128.076179994;14
1620227127.6451749802;-0.1046451927;-0.9370681548;1.6292941022;0.7166166460;-0.0123835641;0.0039778474;0.6973459734;1620227127.6365540028;-0.0537600888;5.2444048483;1.4840110356;0.7067387018;0.0060938416;0.0070063598;-0.7074137286;14;1620227128.076179994;14
1620227127.6532649994;-0.1046081107;-0.9369170115;1.6301652236;0.7167746603;-0.0125185100;0.0039861342;0.6971810984;1620227127.6451880932;-0.0537612275;5.2444121040;1.4840115716;0.7067362323;0.0060985376;0.0070148110;-0.7074160715;14;1620227128.076179994;14
1620227127.6614520550;-0.1046537957;-0.9367898534;1.6309895645;0.7167016636;-0.0127824646;0.0039766543;0.6972514039;1620227127.6532969475;-0.0537654095;5.2444112826;1.4840103413;0.7067359300;0.0060933925;0.0070102929;-0.7074164626;15;1620227128.102151314;15
1620227127.6781940460;-0.1048776394;-0.9364687695;1.6326773029;0.7164405216;-0.0128420417;0.0039758752;0.6975186402;1620227127.6614630222;-0.0537603192;5.2444097254;1.4840119033;0.7067370779;0.0060947038;0.0070086145;-0.7074153212;15;1620227128.102151314;15
1620227127.6865839958;-0.1049084894;-0.9363327467;1.6334438429;0.7165950483;-0.0129134069;0.0042076662;0.6973572085;1620227127.6782050133;-0.0537561344;5.2444106867;1.4840135351;0.7067373569;0.0060970028;0.0070071839;-0.7074150368;15;1620227128.102151314;15
1620227127.6944239140;-0.1049156543;-0.9361773127;1.6342516067;0.7163652533;-0.0134825610;0.0039128812;0.6975842127;1620227127.6865940094;-0.0537649481;5.2444194813;1.4840113907;0.7067383904;0.0061064736;0.0070193391;-0.7074138021;15;1620227128.102151314;15
1620227127.7028779984;-0.1050452709;-0.9360744103;1.6349775377;0.7165063210;-0.0136472395;0.0042561208;0.6974341046;1620227127.6944329739;-0.0537625019;5.2444083241;1.4840139683;0.7067382143;0.0060912255;0.0070067392;-0.7074142344;16;1620227128.154093938;16
1620227127.7195129395;-0.1053641858;-0.9357576051;1.6364876833;0.7161637408;-0.0140034938;0.0043800375;0.6977780549;1620227127.7028899193;-0.0537585164;5.2444092816;1.4840065816;0.7067383327;0.0060978949;0.0070094242;-0.7074140321;16;1620227128.154093938;16
