CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch);Image_frameID
1620210869.0823891163;-0.0943312613;-1.3294465567;0.4331825491;0.7249013734;-0.0161899502;0.0040910287;0.6886502363;1620210869.0738210678;-0.0533032212;5.2452470125;1.4844352224;0.7069837861;0.0061684270;0.0069057218;-0.7071691366;1;1620210870.374440920;gapter1_1
1620210869.0922200680;-0.0945658508;-1.3293975537;0.4401540037;0.7245672849;-0.0166104386;0.0054202285;0.6889825572;1620210869.0824120045;-0.0532953278;5.2452502054;1.4844325142;0.7069857468;0.0061702277;0.0069053237;-0.7071671645;1;1620210870.374440920;gapter1_1
1620210869.0996000767;-0.0945421545;-1.3292654041;0.4473185831;0.7245918737;-0.0170062716;0.0058013915;0.6889439361;1620210869.0922520161;-0.0533227737;5.2452424666;1.4844391907;0.7069804088;0.0061606314;0.0068961072;-0.7071726748;1;1620210870.374440920;gapter1_1
1620210869.1089940071;-0.0943667619;-1.3290233478;0.4549112090;0.7247850487;-0.0168088849;0.0053267315;0.6887493887;1620210869.0996520519;-0.0533005670;5.2452548041;1.4844317863;0.7069848676;0.0061793011;0.0069132233;-0.7071678871;1;1620210870.374440920;gapter1_1
1620210869.1173570156;-0.0945272116;-1.3288487171;0.4623397011;0.7247958388;-0.0164455663;0.0056122047;0.6887445380;1620210869.1090250015;-0.0532975315;5.2452448604;1.4844347801;0.7069831228;0.0061673529;0.0069038701;-0.7071698272;2;1620210870.426383672;gapter1_2
1620210869.1261689663;-0.0945475874;-1.3287323511;0.4698174942;0.7248196772;-0.0164391227;0.0055589789;0.6887200364;1620210869.1173889637;-0.0533206094;5.2452418516;1.4844399070;0.7069831596;0.0061666227;0.0068986086;-0.7071698481;2;1620210870.426383672;gapter1_2
1620210869.1423890591;-0.0944345532;-1.3285347611;0.4850073877;0.7251233213;-0.0160113372;0.0056362770;0.6884097896;1620210869.1262009144;-0.0533063674;5.2452550181;1.4844329607;0.7069840255;0.0061804041;0.0069224254;-0.7071686294;2;1620210870.426383672;gapter1_2
1620210869.1496770382;-0.0944023989;-1.3284036785;0.4927385717;0.7250903364;-0.0153759387;0.0058175792;0.6884575080;1620210869.1424210072;-0.0533028955;5.2452468229;1.4844388141;0.7069835994;0.0061637651;0.0069043132;-0.7071693776;3;1620210870.452355056;gapter1_3
1620210869.1575140953;-0.0944876004;-1.3282802603;0.5004880694;0.7249114584;-0.0149330841;0.0062319967;0.6886519750;1620210869.1496939659;-0.0532918550;5.2452495928;1.4844400764;0.7069849916;0.0061632631;0.0069000480;-0.7071680318;3;1620210870.452355056;gapter1_3
1620210869.1743190289;-0.0945030328;-1.3280029102;0.5160819679;0.7248992709;-0.0136095017;0.0069681276;0.6886851775;1620210869.1575310230;-0.0533321972;5.2452520449;1.4844368681;0.7069845545;0.0061793141;0.0069129984;-0.7071682022;3;1620210870.452355056;gapter1_3
1620210869.1832790375;-0.0944259006;-1.3278498349;0.5238954555;0.7249291237;-0.0133096392;0.0068479183;0.6886608201;1620210869.1743369102;-0.0533018172;5.2452476048;1.4844315043;0.7069830659;0.0061695328;0.0069048541;-0.7071698554;3;1620210870.452355056;gapter1_3
1620210869.1913750172;-0.0944513604;-1.3276961700;0.5318367216;0.7249496538;-0.0125922348;0.0075438935;0.6886454274;1620210869.1832969189;-0.0533227313;5.2452560668;1.4844342830;0.7069872617;0.0061880080;0.0069148136;-0.7071654020;4;1620210870.478326320;gapter1_4
1620210869.2005228996;-0.0944788789;-1.3275514579;0.5398447481;0.7249848797;-0.0118994124;0.0077778166;0.6886180608;1620210869.1914079189;-0.0533341442;5.2452505861;1.4844384650;0.7069845059;0.0061791341;0.0069148501;-0.7071682343;4;1620210870.478326320;gapter1_4
1620210869.2088110447;-0.0946641284;-1.3275183744;0.5474503413;0.7249701650;-0.0117244080;0.0090706540;0.6886207384;1620210869.2005400658;-0.0533045069;5.2452449945;1.4844353633;0.7069858217;0.0061669294;0.0069063669;-0.7071671082;4;1620210870.478326320;gapter1_4
1620210869.2168219090;-0.0945546102;-1.3273935304;0.5555756550;0.7249956987;-0.0114975674;0.0087678453;0.6886016031;1620210869.2088329792;-0.0532978967;5.2452470013;1.4844352840;0.7069838899;0.0061647995;0.0069042298;-0.7071690789;5;1620210870.530269136;gapter1_5
1620210869.2335410118;-0.0946037766;-1.3270993005;0.5716022149;0.7252991549;-0.0111416696;0.0090440192;0.6882842471;1620210869.2168400288;-0.0532963083;5.2452431521;1.4844368662;0.7069852698;0.0061652262;0.0069036297;-0.7071677016;5;1620210870.530269136;gapter1_5
1620210869.2419979572;-0.0945880931;-1.3269952340;0.5797325825;0.7253272057;-0.0113069013;0.0088020688;0.6882551288;1620210869.2335579395;-0.0533046646;5.2452423546;1.4844336107;0.7069840006;0.0061650404;0.0069006321;-0.7071690014;5;1620210870.530269136;gapter1_5
1620210869.2503221035;-0.0945837435;-1.3268637704;0.5879070998;0.7254001573;-0.0114021850;0.0084283011;0.6881813465;1620210869.2420189381;-0.0533305440;5.2452444184;1.4844350055;0.7069831124;0.0061689167;0.0069071146;-0.7071697922;5;1620210870.530269136;gapter1_5
1620210869.2578959465;-0.0945089550;-1.3267117859;0.5960643658;0.7254774675;-0.0113832258;0.0080906880;0.6881042123;1620210869.2503540516;-0.0533003833;5.2452511672;1.4844302764;0.7069837342;0.0061661660;0.0069071143;-0.7071691946;6;1620210870.556240488;gapter1_6
1620210869.2750658989;-0.0946242956;-1.3264759352;0.6125039805;0.7253862622;-0.0118561694;0.0072372262;0.6882018776;1620210869.2579131126;-0.0533066225;5.2452485909;1.4844313549;0.7069826680;0.0061691569;0.0069091988;-0.7071702141;6;1620210870.556240488;gapter1_6
1620210869.2839090824;-0.0945774026;-1.3263953404;0.6207702543;0.7254335532;-0.0121536208;0.0069132042;0.6881501704;1620210869.2750790119;-0.0533270434;5.2452492831;1.4844396381;0.7069829157;0.0061659310;0.0069068570;-0.7071700174;6;1620210870.556240488;gapter1_6
1620210869.2919850349;-0.0946953740;-1.3262195464;0.6292248788;0.7252127916;-0.0119213180;0.0062838281;0.6883929130;1620210869.2839388847;-0.0532983217;5.2452471040;1.4844358564;0.7069861426;0.0061668036;0.0069043379;-0.7071668084;7;1620210870.582211800;gapter1_7
1620210869.3009910583;-0.0946350953;-1.3261132368;0.6377073245;0.7253095934;-0.0116825299;0.0057272765;0.6882998696;1620210869.2920169830;-0.0533057473;5.2452561412;1.4844323883;0.7069863625;0.0061735989;0.0069176328;-0.7071663992;7;1620210870.582211800;gapter1_7
1620210869.3083739281;-0.0947720009;-1.3260259962;0.6459742139;0.7251151906;-0.0116991091;0.0056482327;0.6885050390;1620210869.3010239601;-0.0533262884;5.2452549700;1.4844405001;0.7069851150;0.0061749930;0.0069110382;-0.7071676988;7;1620210870.582211800;gapter1_7
1620210869.3161571026;-0.0947177551;-1.3259512580;0.6544164205;0.7251923230;-0.0114252600;0.0058262555;0.6884269118;1620210869.3083899021;-0.0533032140;5.2452535557;1.4844322564;0.7069830264;0.0061735888;0.0069121380;-0.7071697883;7;1620210870.582211800;gapter1_7
1620210869.3332259655;-0.0946529855;-1.3258041766;0.6712119662;0.7252024875;-0.0112266513;0.0059663786;0.6884182717;1620210869.3161730766;-0.0532941182;5.2452530311;1.4844328668;0.7069844512;0.0061731359;0.0069090843;-0.7071683977;8;1620210870.634154560;gapter1_8
1620210869.3412520885;-0.0946934743;-1.3258013168;0.6794996750;0.7250834532;-0.0112970984;0.0064235890;0.6885383787;1620210869.3332440853;-0.0533074146;5.2452524724;1.4844330478;0.7069851200;0.0061762980;0.0069137662;-0.7071676557;8;1620210870.634154560;gapter1_8
1620210869.3502309322;-0.0947457431;-1.3258235562;0.6879216015;0.7249112606;-0.0111983945;0.0066373903;0.6887192499;1620210869.3412680626;-0.0532991443;5.2452412669;1.4844349995;0.7069844872;0.0061627157;0.0068995780;-0.7071685454;8;1620210870.634154560;gapter1_8
