CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch);Image_frameID
1620231166.4855000973;-0.0230474068;-1.2756622388;1.6368223489;0.7196853453;-0.0120854913;0.0059330851;0.6941698230;1620231166.4775230885;-0.0537097973;5.2450362996;1.4840689414;0.7068016056;0.0062571013;0.0071629774;-0.7073478852;1;1620231166.513518369;1
1620231166.4936289787;-0.0230480697;-1.2757426318;1.6375502919;0.7195869099;-0.0121922098;0.0060270313;0.6942691870;1620231166.4855210781;-0.0537306418;5.2450458409;1.4840749706;0.7068032796;0.0062589107;0.0071679867;-0.7073461458;1;1620231166.513518369;1
1620231166.5020051003;-0.0230903053;-1.2757968837;1.6383280715;0.7195166215;-0.0119618510;0.0062489263;0.6943440764;1620231166.4936530590;-0.0537164830;5.2450413525;1.4840677706;0.7068009613;0.0062574263;0.0071680633;-0.7073484746;1;1620231166.513518369;1
1620231166.5107269287;-0.0230421000;-1.2758434568;1.6389934285;0.7196388841;-0.0117876203;0.0065227760;0.6942178202;1620231166.5020270348;-0.0537324857;5.2450376325;1.4840760862;0.7068001602;0.0062491522;0.0071608485;-0.7073494214;2;1620231166.539489809;2
1620231166.5199110508;-0.0231951826;-1.2759020566;1.6397025871;0.7194913940;-0.0115681538;0.0068032762;0.6943716780;1620231166.5107479095;-0.0537022303;5.2450410830;1.4840731283;0.7067974153;0.0062515510;0.0071621664;-0.7073521296;2;1620231166.539489809;2
1620231166.5284430981;-0.0233135067;-1.2760072796;1.6403768078;0.7193289188;-0.0113661999;0.0072505359;0.6945388008;1620231166.5199339390;-0.0537091648;5.2450427082;1.4840725985;0.7068001752;0.0062565257;0.0071709657;-0.7073492387;2;1620231166.539489809;2
1620231166.5452530384;-0.0233931948;-1.2761152287;1.6417585466;0.7191756744;-0.0114241768;0.0074215483;0.6946947230;1620231166.5284669399;-0.0537354382;5.2450300924;1.4840779551;0.7068018051;0.0062429998;0.0071551392;-0.7073478898;2;1620231166.539489809;2
1620231166.5538539886;-0.0233210363;-1.2761520354;1.6424648532;0.7193483507;-0.0113502348;0.0075690854;0.6945155372;1620231166.5453081131;-0.0537087728;5.2450466620;1.4840721688;0.7067996034;0.0062626171;0.0071734418;-0.7073497311;3;1620231166.591432521;3
1620231166.5617620945;-0.0233894187;-1.2762134826;1.6430856494;0.7192898835;-0.0114454099;0.0077775968;0.6945722245;1620231166.5538771152;-0.0537069188;5.2450416644;1.4840721394;0.7068002465;0.0062583785;0.0071654720;-0.7073492068;3;1620231166.591432521;3
1620231166.5774669647;-0.0235481805;-1.2763670772;1.6443695795;0.7190410513;-0.0121636398;0.0078512871;0.6948167885;1620231166.5618169308;-0.0537047864;5.2450389887;1.4840664786;0.7068019713;0.0062606327;0.0071649803;-0.7073474683;3;1620231166.591432521;3
1620231166.5847160816;-0.0235747310;-1.2764382228;1.6449860048;0.7190193861;-0.0126544738;0.0076088722;0.6948331395;1620231166.5774800777;-0.0537136043;5.2450306122;1.4840699311;0.7068013794;0.0062495761;0.0071591770;-0.7073482162;4;1620231166.617403817;4
1620231166.5932219028;-0.0234643563;-1.2764817138;1.6456126732;0.7191957993;-0.0129834409;0.0074969564;0.6946456854;1620231166.5847280025;-0.0537102661;5.2450404144;1.4840695224;0.7068042329;0.0062611057;0.0071679347;-0.7073451743;4;1620231166.617403817;4
1620231166.6014070511;-0.0235205177;-1.2765484715;1.6462653057;0.7191751680;-0.0129769720;0.0075195584;0.6946669217;1620231166.5932340622;-0.0537022411;5.2450403443;1.4840687946;0.7068019674;0.0062599302;0.0071658055;-0.7073474700;4;1620231166.617403817;4
1620231166.6095240116;-0.0236116550;-1.2766425632;1.6469433549;0.7191445105;-0.0129151255;0.0075521255;0.6946994587;1620231166.6014349461;-0.0537066194;5.2450379492;1.4840705190;0.7068036254;0.0062564299;0.0071630018;-0.7073458727;4;1620231166.617403817;4
1620231166.6264309883;-0.0236263824;-1.2768204431;1.6482704814;0.7190788614;-0.0129085288;0.0073196720;0.6947700220;1620231166.6095490456;-0.0537069009;5.2450428460;1.4840690511;0.7068027646;0.0062584782;0.0071668809;-0.7073466754;5;1620231166.643375241;5
1620231166.6348168850;-0.0234953246;-1.2769016126;1.6489431791;0.7192610692;-0.0127799759;0.0072480110;0.6945845182;1620231166.6264419556;-0.0537086662;5.2450423968;1.4840722345;0.7068014221;0.0062548798;0.0071635674;-0.7073480823;5;1620231166.643375241;5
1620231166.6430349350;-0.0234739361;-1.2769855047;1.6495744493;0.7193652031;-0.0125222603;0.0072452493;0.6944813921;1620231166.6348381042;-0.0537028951;5.2450382061;1.4840692490;0.7068020309;0.0062608548;0.0071659542;-0.7073473969;5;1620231166.643375241;5
1620231166.6514298916;-0.0235278200;-1.2770815394;1.6501951364;0.7193591562;-0.0122201363;0.0073854758;0.6944915603;1620231166.6430590153;-0.0537118684;5.2450428687;1.4840698381;0.7068001189;0.0062607387;0.0071701304;-0.7073492661;6;1620231166.695317905;6
1620231166.6596379280;-0.0235523594;-1.2771775968;1.6508269353;0.7192797591;-0.0120078711;0.0073874111;0.6945774725;1620231166.6514420509;-0.0537083784;5.2450357745;1.4840712283;0.7068000776;0.0062481556;0.0071610718;-0.7073495104;6;1620231166.695317905;6
1620231166.6762468815;-0.0234410277;-1.2773459969;1.6519903730;0.7193711173;-0.0117972213;0.0075961384;0.6944842114;1620231166.6596500874;-0.0537323357;5.2450348636;1.4840719801;0.7068028316;0.0062556217;0.0071636408;-0.7073466666;6;1620231166.695317905;6
1620231166.6847479343;-0.0233025768;-1.2774038483;1.6525311155;0.7195855011;-0.0118284277;0.0076920509;0.6942604895;1620231166.6762590408;-0.0537066738;5.2450290361;1.4840685775;0.7068012689;0.0062486952;0.0071558344;-0.7073483683;6;1620231166.695317905;6
1620231166.6928091049;-0.0233011447;-1.2774533148;1.6530314338;0.7195999748;-0.0119815661;0.0078347581;0.6942412656;1620231166.6847729683;-0.0537103942;5.2450359088;1.4840719827;0.7068005304;0.0062507985;0.0071621565;-0.7073490236;7;1620231166.721289305;7
1620231166.7015559673;-0.0232702423;-1.2775436286;1.6534959628;0.7196106494;-0.0124668820;0.0079404296;0.6942204547;1620231166.6928210258;-0.0537101955;5.2450377463;1.4840688839;0.7068014699;0.0062564220;0.0071645580;-0.7073480108;7;1620231166.721289305;7
1620231166.7094779015;-0.0233410644;-1.2775886179;1.6539747682;0.7194744900;-0.0129018018;0.0079511178;0.6943534989;1620231166.7015678883;-0.0537118825;5.2450336834;1.4840687482;0.7068035128;0.0062547722;0.0071613705;-0.7073460164;7;1620231166.721289305;7
1620231166.7263169289;-0.0233423043;-1.2776849959;1.6548948297;0.7194209129;-0.0140829124;0.0079698033;0.6943858466;1620231166.7094900608;-0.0537146289;5.2450396304;1.4840683626;0.7068023993;0.0062575563;0.0071677920;-0.7073470393;7;1620231166.721289305;7
1620231166.7347550392;-0.0232644729;-1.2777485414;1.6553128341;0.7195126934;-0.0146671561;0.0080081112;0.6942782070;1620231166.7263278961;-0.0537038848;5.2450333834;1.4840719848;0.7067978746;0.0062462895;0.0071593593;-0.7073517456;8;1620231166.773231961;8
1620231166.7429559231;-0.0233111304;-1.2778193433;1.6557860617;0.7194962607;-0.0152057973;0.0079767667;0.6942840095;1620231166.7347669601;-0.0537071598;5.2450345881;1.4840688980;0.7068003803;0.0062493898;0.0071595602;-0.7073492124;8;1620231166.773231961;8
1620231166.7515869141;-0.0233015991;-1.2778660985;1.6562657948;0.7195711485;-0.0156226288;0.0080069166;0.6941967913;1620231166.7429680824;-0.0537151053;5.2450398737;1.4840684981;0.7068012774;0.0062566575;0.0071695912;-0.7073481501;8;1620231166.773231961;8
1620231166.7594959736;-0.0232082147;-1.2779126923;1.6567632571;0.7196025806;-0.0161912509;0.0077381059;0.6941542272;1620231166.7515990734;-0.0537296376;5.2450401777;1.4840718721;0.7068013267;0.0062529600;0.0071626760;-0.7073482036;9;1620231166.799203353;9
1620231166.7759709358;-0.0232977450;-1.2780512346;1.6578118178;0.7195255481;-0.0167919550;0.0073161080;0.6942243805;1620231166.7595069408;-0.0537108302;5.2450400751;1.4840681615;0.7068027822;0.0062603350;0.0071686403;-0.7073466235;9;1620231166.799203353;9
1620231166.7847249508;-0.0232058510;-1.2781182198;1.6583720590;0.7196683952;-0.0170156621;0.0068900191;0.6940752090;1620231166.7759830952;-0.0537283607;5.2450344827;1.4840738371;0.7068014560;0.0062503230;0.0071586974;-0.7073481379;9;1620231166.799203353;9
1620231166.7937901020;-0.0232324644;-1.2781879075;1.6589947650;0.7197499336;-0.0167791264;0.0064267600;0.6940008579;1620231166.7847371101;-0.0537117787;5.2450371646;1.4840667698;0.7068011153;0.0062544417;0.0071636424;-0.7073483920;9;1620231166.799203353;9
