CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch);Image_frameID
1620231054.6459970474;-0.0649846181;-1.1433422107;1.6217533489;0.7230722689;-0.0102033992;0.0053416429;0.6906763724;1620231054.6288731098;-0.0534681170;5.2450996663;1.4840622548;0.7067154406;0.0061937541;0.0070374182;-0.7074357908;1;1620231054.664316229;1
1620231054.6542410851;-0.0650751094;-1.1431537549;1.6224365543;0.7231685707;-0.0097576890;0.0058445947;0.6905779077;1620231054.6460199356;-0.0534690763;5.2450947670;1.4840629361;0.7067177061;0.0061932323;0.0070349434;-0.7074335568;1;1620231054.664316229;1
1620231054.6630270481;-0.0650173726;-1.1429269236;1.6231066930;0.7232750906;-0.0095664136;0.0060546125;0.6904672105;1620231054.6542661190;-0.0534714082;5.2450908139;1.4840655037;0.7067133122;0.0061809117;0.0070277142;-0.7074381258;1;1620231054.664316229;1
1620231054.6714799404;-0.0652798897;-1.1427282321;1.6237423346;0.7228585969;-0.0093979954;0.0063193365;0.6909031716;1620231054.6630508900;-0.0534658954;5.2450947669;1.4840640869;0.7067133444;0.0061825093;0.0070288271;-0.7074380687;2;1620231054.716258853;2
1620231054.6791610718;-0.0653576555;-1.1425403690;1.6243189461;0.7228310638;-0.0093506304;0.0066757216;0.6909292682;1620231054.6715059280;-0.0534684879;5.2450908147;1.4840616376;0.7067147391;0.0061837616;0.0070281326;-0.7074366714;2;1620231054.716258853;2
1620231054.6966149807;-0.0654864547;-1.1420681759;1.6255786760;0.7229176535;-0.0095139326;0.0068935743;0.6908342999;1620231054.6791849136;-0.0534712194;5.2450855187;1.4840588523;0.7067170602;0.0061877206;0.0070272892;-0.7074343263;2;1620231054.716258853;2
1620231054.7124919891;-0.0656094340;-1.1416725010;1.6267160831;0.7229618884;-0.0102220503;0.0071821908;0.6907749516;1620231054.6966400146;-0.0534751568;5.2450972465;1.4840629259;0.7067146347;0.0061889112;0.0070324124;-0.7074366881;3;1620231054.742230277;3
1620231054.7204658985;-0.0656865012;-1.1414780879;1.6272544764;0.7229207979;-0.0106270226;0.0072955659;0.6908106550;1620231054.7125170231;-0.0534631886;5.2450905041;1.4840585319;0.7067164140;0.0061860815;0.0070253051;-0.7074350059;3;1620231054.742230277;3
1620231054.7384140491;-0.0658741210;-1.1410920715;1.6283743348;0.7229774271;-0.0111626854;0.0076739306;0.6907388400;1620231054.7204909325;-0.0534666458;5.2450976300;1.4840648625;0.7067126439;0.0061880532;0.0070335506;-0.7074386730;3;1620231054.742230277;3
1620231054.7461199760;-0.0659665402;-1.1409178989;1.6289007749;0.7229998314;-0.0115283596;0.0077999157;0.6907079716;1620231054.7384469509;-0.0534620604;5.2450913664;1.4840637197;0.7067127349;0.0061826244;0.0070283306;-0.7074386814;4;1620231054.768201669;4
1620231054.7545769215;-0.0660181902;-1.1407118765;1.6294332703;0.7229467109;-0.0119652791;0.0076524537;0.6907577905;1620231054.7461450100;-0.0534570289;5.2450917404;1.4840600720;0.7067140582;0.0061876745;0.0070287738;-0.7074373109;4;1620231054.768201669;4
1620231054.7623779774;-0.0660990055;-1.1405185680;1.6299903723;0.7228750990;-0.0122191319;0.0076362496;0.6908284676;1620231054.7546019554;-0.0534680616;5.2450950511;1.4840620152;0.7067143850;0.0061868948;0.0070309040;-0.7074369702;4;1620231054.768201669;4
1620231054.7705380917;-0.0661569998;-1.1403252887;1.6305701131;0.7230673818;-0.0122493614;0.0076673274;0.6906263293;1620231054.7624030113;-0.0534682141;5.2451016810;1.4840587081;0.7067171215;0.0061982502;0.0070417418;-0.7074340293;5;1620231054.820144317;5
