CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch);Image_frameID
1620210429.0122170448;-0.2594266319;-1.2426391329;0.5766135723;0.7183155035;-0.0113517568;0.0023162116;0.6956210249;1620210428.9958651066;-0.0533388441;5.2449718490;1.4843791680;0.7069999090;0.0061168963;0.0068577839;-0.7071539317;1;1620210429.386893017;gapter1_1
1620210429.0211939812;-0.2592181167;-1.2426650869;0.5846950243;0.7184066441;-0.0117923909;0.0018371818;0.6955209976;1620210429.0122289658;-0.0533351722;5.2449740105;1.4843835953;0.7070025642;0.0061138356;0.0068494803;-0.7071513840;1;1620210429.386893017;gapter1_1
1620210429.0291221142;-0.2592001430;-1.2427558551;0.5928221747;0.7183025702;-0.0118840203;0.0018341709;0.6956269284;1620210429.0212070942;-0.0533354097;5.2449719501;1.4843802318;0.7069998818;0.0061122170;0.0068499640;-0.7071540751;2;1620210429.412864377;gapter1_2
1620210429.0539178848;-0.2590939338;-1.2429394803;0.6172023815;0.7173299847;-0.0134270450;0.0011791959;0.6966031991;1620210429.0291330814;-0.0533356391;5.2449727205;1.4843796492;0.7070012935;0.0061150420;0.0068527360;-0.7071526124;3;1620210429.438835753;gapter1_3
1620210429.0622611046;-0.2591417193;-1.2430246896;0.6255356920;0.7171321650;-0.0131315669;0.0016545624;0.6968115113;1620210429.0539300442;-0.0533605495;5.2449704765;1.4843796239;0.7070018277;0.0061239713;0.0068600466;-0.7071519302;3;1620210429.438835753;gapter1_3
1620210429.0710279942;-0.2593469565;-1.2430949876;0.6338769062;0.7166130839;-0.0128961416;0.0018176495;0.6973493197;1620210429.0622730255;-0.0533281647;5.2449718112;1.4843829069;0.7069980406;0.0061168941;0.0068522539;-0.7071558532;3;1620210429.438835753;gapter1_3
1620210429.0802659988;-0.2591312186;-1.2431122927;0.6421669559;0.7166975258;-0.0130304709;0.0018634271;0.6972599164;1620210429.0710411072;-0.0533352640;5.2449771468;1.4843819623;0.7070005764;0.0061238546;0.0068628521;-0.7071531550;4;1620210429.464807169;gapter1_4
1620210429.0885410309;-0.2590368917;-1.2433043171;0.6503637913;0.7166395969;-0.0134226059;0.0024292420;0.6973102757;1620210429.0803499222;-0.0533316078;5.2449704540;1.4843808157;0.7070004355;0.0061132788;0.0068518619;-0.7071534940;4;1620210429.464807169;gapter1_4
1620210429.0970680714;-0.2590580709;-1.2433289753;0.6587496996;0.7166715043;-0.0131564114;0.0026861367;0.6972816134;1620210429.0885748863;-0.0533383812;5.2449652274;1.4843815182;0.7070021055;0.0061134569;0.0068491375;-0.7071518492;5;1620210429.490778449;gapter1_5
1620210429.1069619656;-0.2588776110;-1.2434030605;0.6670433246;0.7164762925;-0.0137648928;0.0026707546;0.6974705134;1620210429.0970909595;-0.0533618117;5.2449652132;1.4843872976;0.7070002921;0.0061132220;0.0068460577;-0.7071536941;5;1620210429.490778449;gapter1_5
