CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch);Image_frameID
1620220233.9649200439;-0.1335710748;-1.1760347510;0.6278478997;0.7200663348;-0.0145038260;0.0029159848;0.6937475114;1620220233.9476370811;-0.0537923977;5.2441827525;1.4841173395;0.7067329833;0.0060606369;0.0069761672;-0.7074200253;1;1620220234.357880660;gapter1_1
1620220233.9732730389;-0.1337706548;-1.1761460235;0.6358942159;0.7195999949;-0.0146170372;0.0034012182;0.6942266354;1620220233.9649469852;-0.0537976517;5.2441881379;1.4841213499;0.7067328531;0.0060659470;0.0069824602;-0.7074200477;1;1620220234.357880660;gapter1_1
1620220233.9820480347;-0.1337050086;-1.1761896380;0.6442114290;0.7198880548;-0.0145698748;0.0032495838;0.6939296416;1620220233.9732849598;-0.0537767729;5.2441807382;1.4841165984;0.7067335287;0.0060613102;0.0069739023;-0.7074194969;1;1620220234.357880660;gapter1_1
1620220233.9993770123;-0.1336841927;-1.1763449713;0.6608757908;0.7202109889;-0.0145573469;0.0032306691;0.6935948226;1620220233.9820671082;-0.0538004374;5.2441879741;1.4841201536;0.7067336154;0.0060646582;0.0069792563;-0.7074193288;2;1620220234.409823356;gapter1_2
1620220234.0076589584;-0.1340056612;-1.1761825961;0.6695496462;0.7193423940;-0.0139115590;0.0027567358;0.6945108993;1620220233.9994020462;-0.0537977964;5.2441935258;1.4841136265;0.7067338016;0.0060751500;0.0069926616;-0.7074189204;2;1620220234.409823356;gapter1_2
1620220234.0152730942;-0.1342424295;-1.1762198625;0.6779532573;0.7190766287;-0.0136807010;0.0029344294;0.6947899176;1620220234.0076839924;-0.0537730124;5.2441807314;1.4841129251;0.7067322685;0.0060603168;0.0069722932;-0.7074207803;2;1620220234.409823356;gapter1_2
1620220234.0231111050;-0.1343089617;-1.1762715362;0.6862068361;0.7192350725;-0.0139157095;0.0031918052;0.6946200947;1620220234.0153028965;-0.0537988539;5.2441894846;1.4841145952;0.7067349379;0.0060712364;0.0069864118;-0.7074178806;3;1620220234.435794732;gapter1_3
1620220234.0402810574;-0.1345909027;-1.1764456914;0.7028031922;0.7189191170;-0.0142665482;0.0033440817;0.6949392678;1620220234.0231380463;-0.0537958507;5.2441955800;1.4841216073;0.7067342814;0.0060696335;0.0069839680;-0.7074185743;3;1620220234.435794732;gapter1_3
1620220234.0484590530;-0.1345486155;-1.1764573986;0.7113731395;0.7190790564;-0.0140181526;0.0029992626;0.6947804016;1620220234.0403499603;-0.0538018220;5.2441933832;1.4841171639;0.7067352431;0.0060719224;0.0069884087;-0.7074175500;3;1620220234.435794732;gapter1_3
1620220234.0572669506;-0.1343478435;-1.1767884132;0.7194306161;0.7194325576;-0.0147709255;0.0037998849;0.6943948270;1620220234.0484910011;-0.0537943758;5.2441914626;1.4841170476;0.7067350856;0.0060705055;0.0069831234;-0.7074177717;4;1620220234.461766012;gapter1_4
1620220234.0817160606;-0.1345593892;-1.1767712664;0.7452485949;0.7196679763;-0.0137661645;0.0031232825;0.6941748639;1620220234.0572938919;-0.0537999011;5.2441837803;1.4841153642;0.7067353299;0.0060664669;0.0069809118;-0.7074175841;4;1620220234.461766012;gapter1_4
1620220234.0986969471;-0.1345460615;-1.1768124940;0.7623436137;0.7199698423;-0.0139969981;0.0025081774;0.6938596538;1620220234.0817461014;-0.0537786578;5.2441845150;1.4841103250;0.7067329396;0.0060663905;0.0069795268;-0.7074199865;5;1620220234.513708812;gapter1_5
1620220234.1060349941;-0.1347560410;-1.1770079203;0.7706050396;0.7198045425;-0.0145424914;0.0027902116;0.6940188407;1620220234.0987100601;-0.0537921780;5.2441890424;1.4841200455;0.7067313851;0.0060605537;0.0069787440;-0.7074215972;5;1620220234.513708812;gapter1_5
1620220234.1144030094;-0.1348899499;-1.1770920888;0.7789834438;0.7196235634;-0.0150440254;0.0026731484;0.6941962680;1620220234.1060619354;-0.0538025337;5.2441883113;1.4841191935;0.7067347464;0.0060670500;0.0069824350;-0.7074181470;5;1620220234.513708812;gapter1_5
1620220234.1233420372;-0.1349023234;-1.1770818897;0.7873718690;0.7197344828;-0.0151915528;0.0026680435;0.6940780738;1620220234.1144170761;-0.0537959367;5.2441959747;1.4841164949;0.7067344681;0.0060726243;0.0069885911;-0.7074183165;5;1620220234.513708812;gapter1_5
1620220234.1398999691;-0.1353295317;-1.1773603847;0.8039704588;0.7195564765;-0.0158614389;0.0035856279;0.6942434984;1620220234.1233530045;-0.0538037932;5.2441875534;1.4841166036;0.7067367398;0.0060719731;0.0069863169;-0.7074160750;6;1620220234.539680116;gapter1_6
1620220234.1575229168;-0.1353727463;-1.1775231704;0.8207587066;0.7198348733;-0.0162994657;0.0033517784;0.6939458539;1620220234.1399319172;-0.0537909824;5.2441914107;1.4841154479;0.7067337584;0.0060691881;0.0069861211;-0.7074190794;6;1620220234.539680116;gapter1_6
1620220234.1656908989;-0.1354002472;-1.1776322013;0.8291542565;0.7199345566;-0.0162447254;0.0034430813;0.6938432736;1620220234.1575520039;-0.0537980884;5.2441900180;1.4841141392;0.7067345652;0.0060680510;0.0069827479;-0.7074183164;7;1620220234.565651540;gapter1_7
1620220234.1730959415;-0.1355197802;-1.1776956003;0.8375986580;0.7201990392;-0.0160137221;0.0036086427;0.6935732711;1620220234.1657199860;-0.0538020275;5.2441915664;1.4841150806;0.7067339284;0.0060670811;0.0069849457;-0.7074189392;7;1620220234.565651540;gapter1_7
1620220234.1902580261;-0.1356609256;-1.1778413124;0.8545582388;0.7203410613;-0.0158728732;0.0031439944;0.6934312674;1620220234.1731278896;-0.0538090826;5.2441980459;1.4841142999;0.7067349710;0.0060771664;0.0069931780;-0.7074177297;7;1620220234.565651540;gapter1_7
