CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch)
1620299484.6456460953;-0.0387206907;-1.6257186339;1.7640123526;0.7109226006;-0.0145793991;0.0090141416;0.7030613361;1620299484.6212670803;0.0491704486;5.3130673960;2.2784117695;0.7105074063;-0.0129327180;0.0024789196;-0.7035665039;1;1620299484.612176677
1620299484.6556880474;-0.0386862922;-1.6256616012;1.7640152564;0.7109849447;-0.0148270253;0.0090861819;0.7029921828;1620299484.6456561089;0.0487865444;5.3130302716;2.2797011334;0.7105227491;-0.0129590862;0.0024463559;-0.7035506381;1;1620299484.612176677
1620299484.6644659042;-0.0386347808;-1.6255918990;1.7640188667;0.7110744826;-0.0149595559;0.0090405458;0.7028993957;1620299484.6557149887;0.0486053318;5.3130186681;2.2800885822;0.7105546279;-0.0129997491;0.0023449227;-0.7035180372;1;1620299484.612176677
1620299484.6714510918;-0.0385759134;-1.6255414718;1.7640845389;0.7111525366;-0.0149024376;0.0088765423;0.7028237290;1620299484.6644809246;0.0484798228;5.3130403680;2.2804797843;0.7104096598;-0.0131362710;0.0023909030;-0.7036617349;2;1620299484.664119333
1620299484.6802880764;-0.0384929554;-1.6254745426;1.7641679544;0.7113035497;-0.0146970788;0.0086648447;0.7026778612;1620299484.6714611053;0.0483579382;5.3131069821;2.2808917314;0.7105062348;-0.0131454400;0.0024585831;-0.7035638159;2;1620299484.664119333
1620299484.6953549385;-0.0383945147;-1.6253823153;1.7642979702;0.7114650060;-0.0141093420;0.0082598577;0.7025313135;1620299484.6802959442;0.0481898334;5.3130776670;2.2812824014;0.7104647891;-0.0131195926;0.0024857746;-0.7036060550;2;1620299484.664119333
1620299484.7045869827;-0.0383499786;-1.6253813779;1.7642242635;0.7114984777;-0.0139769499;0.0084932783;0.7024972778;1620299484.6953630447;0.0479392645;5.3130999967;2.2820580065;0.7104158032;-0.0132412594;0.0028496013;-0.7036518567;3;1620299484.690090749
1620299484.7121450901;-0.0382956723;-1.6253343563;1.7642303757;0.7115426878;-0.0136713724;0.0084934800;0.7024585097;1620299484.7045960426;0.0478775132;5.3131324074;2.2824454020;0.7102841324;-0.0132748009;0.0028276115;-0.7037842251;3;1620299484.690090749
1620299484.7198710442;-0.0382264632;-1.6252509717;1.7643221416;0.7116483442;-0.0131759657;0.0081452579;0.7023650639;1620299484.7121539116;0.0477302740;5.3131371388;2.2828526794;0.7103669954;-0.0130835132;0.0027818865;-0.7037043517;3;1620299484.690090749
1620299484.7383708954;-0.0381154137;-1.6251469189;1.7643454310;0.7118157523;-0.0126465795;0.0074639334;0.7022127088;1620299484.7198801041;0.0475174694;5.3131292237;2.2832033138;0.7103581555;-0.0132495643;0.0028490551;-0.7037098996;3;1620299484.690090749
1620299484.7466039658;-0.0380652466;-1.6250931283;1.7643113958;0.7118965793;-0.0125255747;0.0072447275;0.7021352322;1620299484.7383909225;0.0473121834;5.3130895549;2.2839441106;0.7102996706;-0.0131595694;0.0031768324;-0.7037692175;4;1620299484.716062037
1620299484.7551250458;-0.0380369343;-1.6250361418;1.7642335147;0.7119340693;-0.0125285434;0.0070925435;0.7020987198;1620299484.7466239929;0.0470984698;5.3131032337;2.2842716600;0.7102332225;-0.0132710201;0.0031742879;-0.7038341947;4;1620299484.716062037
1620299484.7631878853;-0.0379814550;-1.6249537657;1.7641119118;0.7119765545;-0.0126929602;0.0070180941;0.7020534317;1620299484.7551519871;0.0470106902;5.3130963095;2.2846006416;0.7101440800;-0.0133854262;0.0030872658;-0.7039223571;4;1620299484.716062037
1620299484.7706069946;-0.0379708072;-1.6248775592;1.7639209696;0.7119158590;-0.0130981633;0.0071020098;0.7021066936;1620299484.7631959915;0.0469156489;5.3130730933;2.2849587456;0.7100867949;-0.0135251609;0.0031946048;-0.7039769941;5;1620299484.768004781
1620299484.7786030769;-0.0380022646;-1.6248136593;1.7636809204;0.7118501904;-0.0136688135;0.0071893969;0.7021615075;1620299484.7706151009;0.0467518135;5.3130432023;2.2853181196;0.7102300183;-0.0133917127;0.0032234028;-0.7038349187;5;1620299484.768004781
1620299484.7871379852;-0.0380518798;-1.6247499054;1.7634055435;0.7117215132;-0.0143281598;0.0073553438;0.7022770752;1620299484.7786118984;0.0466419777;5.3130024672;2.2856537659;0.7102554481;-0.0133311518;0.0032648833;-0.7038102155;5;1620299484.768004781
1620299484.7971370220;-0.0380180627;-1.6246421157;1.7631247499;0.7116930697;-0.0150969240;0.0074375373;0.7022889295;1620299484.7871460915;0.0466177527;5.3129599154;2.2860396700;0.7101179968;-0.0132542895;0.0032259730;-0.7039505291;5;1620299484.768004781
1620299484.8144919872;-0.0378822172;-1.6244513691;1.7626639050;0.7117684519;-0.0163149676;0.0076523841;0.7021829774;1620299484.7971599102;0.0464364783;5.3129551336;2.2863448608;0.7103528478;-0.0134472477;0.0031240026;-0.7037103408;6;1620299484.793976189
1620299484.8225491047;-0.0378788505;-1.6243758128;1.7624955960;0.7117147972;-0.0167420286;0.0074505720;0.7022294788;1620299484.8145129681;0.0462369493;5.3128597650;2.2869749448;0.7103673859;-0.0136719486;0.0031002025;-0.7036914406;6;1620299484.793976189
1620299484.8322010040;-0.0378832774;-1.6243198186;1.7623516471;0.7116681879;-0.0170554342;0.0072370608;0.7022714058;1620299484.8225719929;0.0461497155;5.3128101667;2.2873072905;0.7104303691;-0.0136380777;0.0031774324;-0.7036281670;6;1620299484.793976189
1620299484.8465669155;-0.0379116013;-1.6242051512;1.7621788476;0.7115675761;-0.0172764141;0.0064169899;0.7023759196;1620299484.8322238922;0.0460695542;5.3127519207;2.2876447541;0.7103700777;-0.0137159814;0.0033007820;-0.7036869541;6;1620299484.793976189
1620299484.8638479710;-0.0378871179;-1.6240915675;1.7620544039;0.7115667127;-0.0170703624;0.0059679726;0.7023857910;1620299484.8465890884;0.0458371933;5.3126298574;2.2882352172;0.7104887176;-0.0139064150;0.0029737512;-0.7035648873;7;1620299484.819947421
1620299484.8721129894;-0.0378592120;-1.6240240319;1.7620245579;0.7116410348;-0.0168075374;0.0055311176;0.7023204049;1620299484.8638560772;0.0456322365;5.3125547371;2.2888822261;0.7102804226;-0.0143089568;0.0033108781;-0.7037655953;7;1620299484.819947421
1620299484.8810210228;-0.0378386821;-1.6239644299;1.7620120534;0.7116996495;-0.0164284777;0.0053547811;0.7022713438;1620299484.8721361160;0.0455272752;5.3124733186;2.2892060069;0.7103549258;-0.0142265964;0.0032630868;-0.7036922876;8;1620299484.871890165
1620299484.8967020512;-0.0377818202;-1.6238500553;1.7620003012;0.7118757210;-0.0156170358;0.0049733286;0.7021141874;1620299484.8810439110;0.0454448044;5.3124247575;2.2895471845;0.7103400165;-0.0142256783;0.0033003753;-0.7037071824;8;1620299484.871890165
1620299484.9046790600;-0.0376790745;-1.6237930386;1.7619522237;0.7121234368;-0.0152808334;0.0052109554;0.7018686151;1620299484.8967239857;0.0452574730;5.3122520782;2.2901490599;0.7103316996;-0.0144744953;0.0032973054;-0.7037105181;8;1620299484.871890165
