CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch);Image_frameID
1620287213.0700659752;-0.0492104977;-1.0754988459;1.7512588846;0.7185067939;-0.0126668135;0.0063015482;0.6953760346;1620287213.0617220402;-0.1153256354;7.1003821144;1.4878084693;0.7301872778;-0.0073935169;-0.0005233322;0.6832068511;3;1620287213.381034518;3
1620287213.0782799721;-0.0492572886;-1.0754902906;1.7513215727;0.7184879544;-0.0121469351;0.0062655203;0.6954051011;1620287213.0700759888;-0.1153093163;7.1003858624;1.4878021762;0.7301917714;-0.0073971118;-0.0005221316;0.6832020104;4;1620287213.407005934;4
1620287213.0871438980;-0.0491227496;-1.0754516872;1.7513897004;0.7185209038;-0.0119048140;0.0059159823;0.6953783052;1620287213.0782909393;-0.1153277420;7.1003789506;1.4878095012;0.7301840882;-0.0073921051;-0.0005231122;0.6832102755;4;1620287213.407005934;4
1620287213.0950469971;-0.0490405657;-1.0754643310;1.7513912646;0.7187624610;-0.0115582091;0.0059961691;0.6951337845;1620287213.0871560574;-0.1153252028;7.1003754889;1.4878035952;0.7301847760;-0.0073976006;-0.0005247885;0.6832094796;4;1620287213.407005934;4
1620287213.1034231186;-0.0490042077;-1.0754520117;1.7514144545;0.7188588540;-0.0112542053;0.0060604430;0.6950385327;1620287213.0950579643;-0.1153280982;7.1003735903;1.4878047748;0.7301838905;-0.0073958393;-0.0005236483;0.6832104459;5;1620287213.458948646;5
1620287213.1199450493;-0.0489031969;-1.0754045899;1.7514526581;0.7189775786;-0.0108712575;0.0055912458;0.6949257480;1620287213.1034340858;-0.1153081345;7.1003906628;1.4878089045;0.7301932667;-0.0073925111;-0.0005187925;0.6832004646;5;1620287213.458948646;5
1620287213.1285679340;-0.0488062788;-1.0753464185;1.7514690304;0.7189212709;-0.0107445286;0.0054430347;0.6949871472;1620287213.1199560165;-0.1153070548;7.1003915480;1.4878070408;0.7301913034;-0.0073946563;-0.0005212771;0.6832025379;5;1620287213.458948646;5
1620287213.1368479729;-0.0487362955;-1.0753630198;1.7513637897;0.7192054798;-0.0106274691;0.0055900865;0.6946936631;1620287213.1285939217;-0.1153242763;7.1003916767;1.4878112012;0.7301911806;-0.0073913495;-0.0005207326;0.6832027053;5;1620287213.458948646;5
1620287213.1451380253;-0.0486596250;-1.0753037159;1.7513335753;0.7191258673;-0.0106546881;0.0053925022;0.6947772200;1620287213.1368598938;-0.1153275763;7.1003895463;1.4878112620;0.7301907203;-0.0073927507;-0.0005198516;0.6832031828;6;1620287213.484919974;6
1620287213.1622409821;-0.0485339962;-1.0752572185;1.7510821989;0.7191937102;-0.0110166157;0.0055953338;0.6946997435;1620287213.1451489925;-0.1153276307;7.1003863984;1.4878026266;0.7301893658;-0.0073951369;-0.0005237239;0.6832046016;6;1620287213.484919974;6
1620287213.1702320576;-0.0484970740;-1.0752438164;1.7509413310;0.7192027962;-0.0112842388;0.0056040213;0.6946859714;1620287213.1622529030;-0.1153272293;7.1004014758;1.4878114084;0.7301948567;-0.0073899905;-0.0005229794;0.6831987894;6;1620287213.484919974;6
1620287213.1786329746;-0.0484553294;-1.0752178334;1.7507910633;0.7192299496;-0.0116033474;0.0055993702;0.6946526390;1620287213.1702430248;-0.1153243948;7.1003998855;1.4878097560;0.7301938732;-0.0073903523;-0.0005253056;0.6831998348;7;1620287213.510891302;7
1620287213.1867299080;-0.0484246447;-1.0752021676;1.7505987499;0.7192845897;-0.0119917382;0.0056599351;0.6945889737;1620287213.1786448956;-0.1153073137;7.1004210522;1.4878072220;0.7302039609;-0.0073891787;-0.0005268088;0.6831890646;7;1620287213.510891302;7
