CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch)
1620302791.0494749546;-0.2480815239;-1.6497459212;1.7800754851;0.7164243763;-0.0158795164;0.0075629423;0.6974430126;1620302791.0407779217;-0.0759200443;5.5742851968;2.2656691093;0.7080936298;-0.0135253441;0.0016478725;-0.7059870828;5;1620302791.003379734
1620302791.0587289333;-0.2479883409;-1.6498179417;1.7802250964;0.7165349194;-0.0159462794;0.0074564297;0.6973290666;1620302791.0494859219;-0.0760019216;5.5743154644;2.2662958145;0.7079889421;-0.0132193427;0.0018244776;-0.7060974282;5;1620302791.003379734
1620302791.0751609802;-0.2480587346;-1.6500352835;1.7803486903;0.7163871260;-0.0164931645;0.0074854295;0.6974678700;1620302791.0587570667;-0.0761238293;5.5743204153;2.2668446096;0.7080641677;-0.0131407336;0.0018041993;-0.7060235127;6;1620302791.029351150
1620302791.0828559399;-0.2479451569;-1.6501250364;1.7804607900;0.7165205880;-0.0167116999;0.0073538927;0.6973269580;1620302791.0751891136;-0.0762930447;5.5743330611;2.2679607868;0.7081062375;-0.0132807698;0.0019054461;-0.7059784323;6;1620302791.029351150
1620302791.0915219784;-0.2479694071;-1.6502097230;1.7805919868;0.7164026399;-0.0167292131;0.0072980765;0.6974482984;1620302791.0828819275;-0.0764406251;5.5743341724;2.2684843606;0.7082977529;-0.0132914169;0.0019216168;-0.7057860432;6;1620302791.029351150
1620302791.0997450352;-0.2479549466;-1.6502950607;1.7807812211;0.7163503672;-0.0166530184;0.0071409342;0.6975054376;1620302791.0915479660;-0.0765493907;5.5743550435;2.2690511190;0.7083867468;-0.0133203887;0.0021183216;-0.7056956121;6;1620302791.029351150
1620302791.1161680222;-0.2479052324;-1.6505041824;1.7809942777;0.7162005966;-0.0165622983;0.0073337424;0.6976593810;1620302791.0997819901;-0.0766056455;5.5743286702;2.2696069756;0.7083154311;-0.0133626598;0.0025680330;-0.7057649004;7;1620302791.081293854
1620302791.1250278950;-0.2479007515;-1.6506045626;1.7810947121;0.7161112819;-0.0162686415;0.0076301857;0.6977547875;1620302791.1161930561;-0.0768353697;5.5743291432;2.2706810510;0.7081576337;-0.0133427556;0.0022058455;-0.7059248338;7;1620302791.081293854
1620302791.1329379082;-0.2478977858;-1.6507059519;1.7812110272;0.7160156178;-0.0160236495;0.0078383194;0.6978563165;1620302791.1250550747;-0.0769061482;5.5743828430;2.2712668905;0.7081087772;-0.0132044906;0.0021835030;-0.7059765105;7;1620302791.081293854
1620302791.1411719322;-0.2479005462;-1.6508104737;1.7812959015;0.7158777478;-0.0158363083;0.0080196291;0.6979999621;1620302791.1329629421;-0.0770091670;5.5743762114;2.2717677830;0.7079276918;-0.0133683099;0.0023777012;-0.7061543868;7;1620302791.081293854
1620302791.1494638920;-0.2477895768;-1.6509666239;1.7812966686;0.7159383547;-0.0157663999;0.0083239523;0.6979358170;1620302791.1411969662;-0.0771042840;5.5743756821;2.2723117520;0.7080005161;-0.0133505873;0.0023327710;-0.7060818573;8;1620302791.107265126
1620302791.1583259106;-0.2477330329;-1.6510518976;1.7813911649;0.7159021871;-0.0155369697;0.0083640196;0.6979775815;1620302791.1494901180;-0.0772327455;5.5743341856;2.2728459609;0.7081487008;-0.0134069392;0.0024253458;-0.7059318587;8;1620302791.107265126
