0.0	0.0	1.6	-10.0
0.0	0.0	2.6	-10.0
0.0	-1.5	2.6	-10.0
0.0	-1.5	0.6	-10.0
0.0	1.5	0.6	-10.0
0.0	1.5	2.6	-10.0
0.5	0.0	1.6	-10.0
0.5	0.0	2.6	-10.0
0.5	-1.5	2.6	-10.0
0.5	-1.5	0.6	-10.0
0.5	1.5	0.6	-10.0
0.5	1.5	2.6	-10.0
1.0	0.0	1.6	-10.0
1.0	0.0	2.6	-10.0
1.0	-1.5	2.6	-10.0
1.0	-1.5	0.6	-10.0
1.0	1.5	0.6	-10.0
1.0	1.5	2.6	-10.0
1.5	0.0	1.6	-10.0
1.5	0.0	2.6	-10.0
1.5	-1.5	2.6	-10.0
1.5	-1.5	0.6	-10.0
1.5	1.5	0.6	-10.0
1.5	1.5	2.6	-10.0
2.0	0.0	1.6	-10.0
2.0	0.0	2.6	-10.0
2.0	-1.5	2.6	-10.0
2.0	-1.5	0.6	-10.0
2.0	1.5	0.6	-10.0
2.0	1.5	2.6	-10.0
2.5	0.0	1.6	-10.0
2.5	0.0	2.6	-10.0
2.5	-1.5	2.6	-10.0
2.5	-1.5	0.6	-10.0
2.5	1.5	0.6	-10.0
2.5	1.5	2.6	-10.0
3.0	0.0	1.6	-10.0
3.0	0.0	2.6	-10.0
3.0	-1.5	2.6	-10.0
3.0	-1.5	0.6	-10.0
3.0	1.5	0.6	-10.0
3.0	1.5	2.6	-10.0
3.5	0.0	1.6	-10.0
3.5	0.0	2.6	-10.0
3.5	-1.5	2.6	-10.0
3.5	-1.5	0.6	-10.0
3.5	1.5	0.6	-10.0
3.5	1.5	2.6	-10.0
4.0	0.0	1.6	-10.0
4.0	0.0	2.6	-10.0
4.0	-1.5	2.6	-10.0
4.0	-1.5	0.6	-10.0
4.0	1.5	0.6	-10.0
4.0	1.5	2.6	-10.0
0.0	0.0	1.6	-10.0
